index,company,challenge,category,region
39,超聚变,实现一个可运行的招投标信息聚合工具，呈现形式为可运行系统（API / CLI / Web UI），支持： 1. 用户输入自然语言，触发招投标网站信息的抓取，抓取完成后汇总招投标信息成word文件。 2. 用户意图中涉及发送的时间和频率，需定时触发；否则，立即触发。,AI + 产业协同,华北企业
40,东风奕派,假如你是东风奕派的用户运营经理，如何用 AI 捕捉不同车主的“心动时刻”，打造让他们刷到停不下来的品牌视频内容？,AI + 营销推广,华西企业
41,洋葱学园,如果你是洋葱学园的 AI 负责人，你会如何借助 AI 打通新业务从立项到落地的跨部门协同？,AI + 综合领域,华北企业
42,山海星辰,"在如果给你一个爆款短剧IP、一套AI全链路工具和100万预算，你会怎么做到\""一人剧组，爆款出海\""？",AI + 综合领域,华南企业
43,伏达半导体,"如果 AI 成为你的\""项目副驾驶\""，你将如何重新设计芯片公司芯片项目经理的工作流？",AI + 研发创新,华东企业
44,高能环境,「焚烧炉的绿电哨兵」——AI设备故障预警系统 预期成果：设备健康度监测平台，支持实时预警、趋势预测、运维建议生成。,AI + 生产制造,华北企业
45,海信集团,如果你参与海信智能家居产品的运营优化，如何借助 AI 打通从用户问题发现到服务闭环的全链路，让用户感受到“有温度”的产品？,AI + 客户体验,华北企业
46,长虹佳华,如何用 AI 帮助长虹佳华打造 ICT 分销经营健康度分析与风险预警智能体,AI + 研发创新,华北企业
47,茶百道,如果你加入茶百道的新品共创团队，你会如何借助AI打造“下一个小料/品类爆款”？,AI + 营销推广,华西企业
48,小鹏集团,【物理AI·脑洞大开】别卷代码了，请为小鹏的AI汽车/机器人/飞行汽车设计一项具体的“物理外挂”，用AI解决“物理世界的麻烦”！,AI + 研发创新,华南企业
49,华熙生物,如果您加入华熙生物皮肤科学创新转化产研团队，您如何借助AI做出下一个爆款？,AI + 研发创新,华北企业
50,和新科技,面对多平台、高频上新的内容营销需求，如何借助 AI 构建一套高效的跨境电商内容运营体系？,AI + 营销推广,华南企业
51,歌尔股份,如果你加入歌尔数字化团队，如何综合运营数据分析工具和飞书AI能力，为不同岗位角色生成实时专属数据看板并支撑完成决策闭环？,AI + 综合领域,华北企业
52,佑驾创新,如果你加入佑驾创新无人车研发团队，你会如何用AI打造一套“异常行为诊断工具箱”？,AI + 研发创新,华南企业
53,三元食品,如何借助 AI 打造一套「智能产品策略引擎」，系统性捕获行业、技术、消费者、渠道、竞品等动态，输出从产品孵化到推广的全链路开发策略，打造可持续增长的产品，赢得消费者及市场的喜爱。,AI + 营销推广,华北企业
54,度小满,如何用AI帮助小微企业提升经营？,AI + 综合领域,华北企业
55,安克创新,假设你要为安克设计一款创新产品，让AI做你的超级智囊、用户替身、行业专家——用这种新方法从头做一次产品设计与定义，比比看和靠经验拍脑袋有什么本质不同？,AI + 研发创新,华南企业
56,蔚来,"AI + 营销推广：一个人抵一支团队？——用AI让乐道上千名销售顾问的社交媒体影响力实现\""千人千面\""的规模化爆发",AI + 营销推广,华东企业
57,正浩创新,如果你操盘 EcoFlow 的跨境营销，你会如何借助 AI 让北美、欧洲、日本消费者都心动？,AI + 营销推广,华南企业
58,名创优品,名创优品每年推出上万款新品。请你借助AI工具，设计一套「AI驱动的产品开发智能决策引擎」，覆盖趋势洞察到产品创意、上市验证等链路，缩短新品上市周期，提升爆品命中率。,AI + 研发创新,华南企业
59,珀莱雅,如果你加入珀莱雅的美妆科研实验室，你会如何借助 AI 找到下一款功效护肤产品的灵感？,AI + 研发创新,华东企业
60,舜宇光学科技,如果你是智造专家，你将如何借助AI设计并打造「智造调机助手」，提升现场良率? (方向：实现自动采集调机数据、智能诊断异常推荐参数、并沉淀知识库，实现“调一次学一次”),AI + 生产制造,华东企业
61,核桃编程,如果你加入核桃编程的教研团队，你会如何借助AI制作更易懂的知识点讲解、更好玩的环节、能高效生产和迭代课程的AI系统？,AI + 客户体验,华北企业
62,斯伯特集团,如果你加入斯伯特AI增长团队，你会如何搭建一个AI工具，帮助营养健康品牌打造爆品内容？,AI + 营销推广,华北企业
63,新航道,如果你是新航道 TED 内容运营官，会在 AI 时代设计什么样的产品，吸引年轻人从“听见思想”到“表达思想”？,AI + 客户体验,华北企业
64,Polymaker,"如果请你做Polymaker的\""AI选材顾问\""，你会如何借助AI让用户「想打什么，就知道用什么3D打印材料」？",AI + 综合领域,华东企业
65,海亮教育,如果你加入海亮教育的生涯服务平台团队，你会如何借助 AI，把生涯规划从“给建议”变成“真正促进行动”的成长服务？,AI + 综合领域,华东企业
66,诺禾致源,设计一套AI驱动的科研用户技术支持与咨询服务体系，使其成为用户获取诺禾致源专业服务的第一入口，实现“智能自助→人工协同”的高效服务闭环。,AI + 客户体验,华北企业
67,懂车帝,"如果你加入懂车帝，你会如何用 AI 打造一款好用、好玩的\""汽车版男人帮\""APP？",AI + 客户体验,华北企业
68,鲸航智能,"如果你来设计一款 AI 学习伙伴，你会如何让 AI 学习伙伴成为国际高中生中\""最懂我的私教\""？",AI + 客户体验,华南企业
69,益和,如果你加入益和的产品创新中心，你会如何借助AI打造下一代宠物健康零食爆款？,AI + 研发创新,华东企业
70,四维图新,你会如何运用 AI 助力四维图新数据治理：打造 3 秒响应的企业级智能数据 Agent，让管理决策有据可依，让企业运营智慧真正流动、传承。,AI + 综合领域,华北企业
71,蓝色光标,"当每个消费者都拥有自己的 AI助理，品牌也需要一个\""大脑\""——如果你是蓝色光标AI Native营销解决方案中心的一员，由你来设计某个品牌智能体，它该是什么样子？",AI + 营销推广,华北企业
72,优勤网络,"如果你加入优勤的AI客服升级项目，你会如何借助AI重构客服价值链，推动客服团队从\""成本中心\""向\""利润中心\""跃迁？",AI + 客户体验,华东企业
73,武汉众为,加入武汉众为研发团队，你将如何定制数字化方案，拓展中医健康、美容、智慧零售行业客户？,AI + 营销推广,华西企业
74,能链,AI 统筹油电一体化，针对两大痛点打造方案： 1. 打通补能数据壁垒，个性化推荐站点； 2. 调节能源零售供需。依托 AI 整合油价电价、客流车况、配套服务数据，优化支付，为运营商提供定价、引流方案。,AI + 客户体验,华北企业
75,雅迪科技集团,如果请你来设计一个门店数字导购，帮助雅迪全国4w家门店更好的通过AI能力进行产品推广和营销，你会如何设计这位数字员工，通过AI能力赋能导购员工，实现店效倍增,AI + 营销推广,华东企业
76,聚好看,面向家庭环境，探索一套AI 驱动的家庭陪伴机器人具身智能闭环技术方案，让机器人具备自主空间感知、规划及行动能力，实现稳定移动、自主寻人和寻物。,AI + 研发创新,华北企业
77,安吉尔,如果你加入安吉尔用户运营团队，你会如何借助 AI 实现智能用户运营体系？,AI + 营销推广,华南企业
78,同道猎聘,如果你加入同道猎聘集团，让你做一款用AI帮助企业做人才寻聘的产品，你会如何设计和思考?,AI + 综合领域,华北企业
79,来菜·湖北头牌藕汤,"如果你是来菜的 AI PM/FDE，如何用 AI 让 100 家楚菜连锁的\""经营 - 备餐 - 品控 - 门店评估\""全跑起来？",AI + 综合领域,华北企业
80,江苏金租,我们需要根据不同的设备价值来判断风险，如何借助AI构建设备估值和残值预测模型，从而更好更快的服务实体经济？,AI + 产业协同,华东企业
81,云图控股,如果你来到全球领先的合成氨生产装置现场，如何用AI打造一个生产调度专家？,AI + 生产制造,华西企业
82,世纪互联,打造绿色 Token 工厂：如何结合AI、能源、算力等建设下一代的数据中心（AIDC）？,AI + 综合领域,华北企业
83,稳健医疗&全棉时代,"如果你加入全棉时代的爆品共创团队，你会如何用 AI 打造一台「爆款制造机」，并搭建一个\""全渠道内容营销智能中枢\""——让 AI 从洞察、设计到种草与转化全链路驱动爆款诞生？",AI + 研发创新,华南企业
84,富安娜,如果加入富安娜，如何通过AI创造内容及高效传播，让更多年轻消费群体了解富安娜的设计理念及品牌文化。,AI + 营销推广,华南企业
85,高途,如果你加入高途线下校区的教务及运营团队，你会如何用AI打造一套「会思考」的智能排课系统？,AI + 客户体验,华北企业
86,钛动科技,如果你是钛动科技的创业者，如何在AI出海营销赛道中找到一个年利润百万美金的真实商业机会，并论证它值得做？,AI + 营销推广,华南企业
87,长隆集团,从“全周期游客视角”出发，用AI重塑人与乐园空间的连接。构建贯穿“游前感知-游中沉浸-游后留存”的全链路AI智慧伴游系统，如提供游玩路线\\景点\\商品推荐、即兴游客互动、动物讲解、酒店指引等。,AI + 客户体验,华南企业
88,健康元药业集团,如果你加入健康元的临床开发团队，你会如何借助AI能力，在临床试验的方案设计、受试者招募、数据监查及文档撰写等关键环节中实现效率突破？,AI + 研发创新,华南企业
89,丽珠医药集团,如果你加入丽珠的生物发酵团队，你会如何借助AI能力，在抗生素中间体及活菌制剂的发酵产线上实现降本与提质？,AI + 研发创新,华南企业
90,神州租车,如果你加入神州租车人力资源团队，你会如何借助AI，让对的人出现在最需要他的岗位上？,AI + 综合领域,华北企业
91,新石器,依托飞书 AI 搭建无人配送全渠道用户反馈闭环运营体系,AI + 综合领域,华北企业
92,石头科技,如果你是石头科技的产品经理，如何让 AI 帮机器人更懂每个家庭的清洁需求？,AI + 研发创新,华北企业
93,维学,我校线上小班思辨课程面向 1-7 年级学生，课堂、习作无统一标准答案，学生思辨能力评估完全依赖人工评价，由此产生反馈效率低、个性化指导欠缺、学情无法量化等教学难题，请设计一套数字化方案解决以上问题。,AI + 研发创新,华东企业
94,海正药业,如何利用AI构建辅助工艺放大的智能体，打通研发到量产壁垒，实现参数溯源与预测、风险评估、智能预警等？,AI + 研发创新,华东企业
95,晨光,AI for pen・笔伴成长，轻松学习！，请为晨光设计一个可以和用户互动，可以帮助用户学习更专注，更轻松的书写工具，用 AI 解决学习过程中的的麻烦！,AI + 研发创新,华东企业
96,车联天下,当 App 退到后台，AI Agent 如何重新定义下一代车机交互？,AI + 研发创新,华东企业
97,星迈创新,如何借助AI，基于泳池机器人行业公开市场数据进行营销洞察与产品策略建议,AI + 营销推广,华东企业
98,欧派家居,欧派家居 “一体化设计、一站式配齐”的大家居战略，服务流程复杂、销售管控难、客户体验如何提升等难点，你会如何借助AI来让这件事更简单便捷。,AI + 客户体验,华南企业
99,胖东来,"如何借助 AI 技术，让外界更深入地了解胖东来\""自由·爱\""的企业文化",AI + 综合领域,华北企业
100,瑞幸咖啡,Al Agent时代，流量入口发生变化。结合瑞幸真实业务场景搭建 AI Agent 流量运营方案：品牌无法直触用户的背景下，依托 AI Agent 洞察用户意图，重构会员关系，打通唤醒、推荐、下单、复购、长效忠诚全运营闭环。,AI + 营销推广,华北企业
101,晶泰科技,如果你是晶泰科技智能自主实验室的研发效能负责人，你会如何借助飞书会议AI，将离散实验数据转化为可流动、可沉淀的团队知识资产？,AI + 综合领域,华南企业
102,国机精工,如果你加入国机精工的超硬材料研发团队，你会如何借助AI多模态融合感知与自适应控制算法，让高温高压金刚石合成工艺从“依赖老师傅经验”升级为“数据驱动的自主智能控制”？,AI + 研发创新,华北企业
103,得力集团,在 AI 时代下，未来 10 年，得力如何在产品、品牌、渠道三方面进行转型？,AI + 综合领域,华东企业
104,迈金科技,AI时代下，如何快速发现全球骑行用户的真实需求？,AI + 综合领域,华北企业
105,圣农集团,"如果你加入圣农零售铁军，你会如何借助AI重新设计\""业务员—区域—集团\""的三级销售作战闭环，并量化它能带来的业绩增量。",AI + 营销推广,华东企业
106,易点天下,"如果你加入易点天下的全球增长团队，你会如何用 AI，把一版中国创意，快速变出几十个国家都 \""接地气\"" 的本地版本？",AI + 营销推广,华西企业
107,文远知行,给无人车装上“智慧大脑”：AI加持下的Robotaxi运营新玩法,AI + 客户体验,华南企业
108,逸仙集团,基于AI的美妆社交媒体传播分析与内容策略优化,AI + 营销推广,华南企业
